num_facilities,average_distance_m,max_distance_m
1,7941.754488148699,14936.661534959327
2,5383.306136877739,12177.894838934326
3,3995.6662982847993,8154.876963648931
4,3704.1923037089414,8943.946931349281
5,3386.757448539794,8943.946931349281
6,2914.935042266708,6190.63794394348
7,2285.392861955934,5286.528222393409
8,2389.1732156190674,5496.125474967193
9,2316.615596890478,5496.125474967193
10,1830.8688450350148,4178.933443343202
11,1847.4890867066865,4392.445896104864
12,1654.73008365453,4392.445896104864
13,1607.764198719505,4392.445896104864
14,1663.0949042791665,4530.468571882364
15,1559.726033222038,4530.468571882364
16,1524.9545540942283,4530.468571882364
17,1484.4274033676488,4530.468571882364
18,1450.115902583018,4530.468571882364
19,1345.839600446054,4530.468571882364
20,1284.6544807110336,4530.468571882364
total_time_seconds,110.452228307724,
