num_facilities,average_route_distance_m,max_route_distance_m
1,7593.7335808762855,13707.167454411101
2,4904.878889478893,11205.40202358982
3,3619.8404603770705,8155.310341443491
4,3061.3094846371787,7154.812008041379
5,2886.9381484691803,7297.970901359641
6,2487.0118910926267,6455.274986358339
7,2237.5029360833905,6573.800593338214
8,2143.878432666555,6002.346546975193
9,1952.1530559571963,6716.83238381408
10,1827.5476034219766,5065.686202322693
11,1710.5757624033392,4084.7513580485397
12,1695.7380368326574,4947.612707169448
13,1658.641333164808,5608.615224235692
14,1511.190156698157,4556.261804492855
15,1529.823033940345,4143.552208304821
16,1430.1051424112757,3642.472572052981
17,1442.4906071153084,3780.963484560053
18,1419.293798309968,4205.882811996858
19,1475.6374661965015,4084.2110974745
20,1264.0035429750571,4346.8939445874275
total_time_seconds,143.4790222644806,
