num_facilities,average_route_distance_m,max_route_distance_m
1,7582.17171087521,13675.083807938458
2,4891.540076542813,11416.84427487641
3,3540.831709744814,8534.994935360419
4,3045.139562547037,6446.192110895503
5,2650.8140738147395,6749.089323241666
6,2413.548694694237,6137.066830444747
7,2063.087032562401,6444.949228436421
8,1861.0372899318284,4135.26772320599
9,1651.3579407419459,4135.26772320599
10,1478.0372552586289,4135.26772320599
11,1378.6895580429748,4135.26772320599
12,1309.1538379664657,4135.26772320599
13,1220.4751458057574,4135.26772320599
14,1150.252856992925,4135.26772320599
15,1073.103011863891,4135.26772320599
16,1018.267482722538,4135.26772320599
17,968.3732501493395,4135.26772320599
18,923.7380338100263,4135.26772320599
19,877.9233612038562,3928.7763286395057
20,835.1570333442957,3928.7763286395057
total_time_seconds,6522.630908727646,
