num_facilities,average_route_distance_m,max_route_distance_m
1,7582.17171087521,13675.083807938458
2,4977.28384277328,11587.453685945087
3,3675.1910505477017,7982.9575713184195
4,3386.9977645694967,6996.147055987263
5,3094.731484976153,6749.089323241666
6,2850.4999128885283,7987.704309606213
7,2601.3797249118284,5754.685684641044
8,2637.749018111581,4956.843281359821
9,2162.999931749864,4909.112728913841
10,2299.6992553573014,4721.966876918983
11,2145.9957615282356,5589.758435134053
12,2080.3182708484087,4954.328910675059
13,1936.1912517234557,5526.053941500941
14,1966.2159700663938,5172.555566309503
15,1868.6197572595356,4735.78178674573
16,1872.1391372093897,4088.437512174414
17,1832.0837551827944,4342.872835294714
18,1794.064779341405,4135.406456912597
19,1783.6848338466825,4357.955512583956
20,1736.8086133229885,4110.046931499326
total_time_seconds,42.140305280685425,
