num_facilities,average_route_distance_m,max_route_distance_m
1,7582.17171087521,13675.083807938458
2,4891.540076542813,11416.84427487641
3,3540.831709744814,8534.994935360419
4,3045.139562547037,6446.192110895503
5,2650.8140738147395,6749.089323241666
6,2318.987333573345,6749.089323241666
7,2063.087032562401,6444.949228436421
8,1861.0372899318284,4135.26772320599
9,1651.357940741946,4135.26772320599
10,1478.0372552586289,4135.26772320599
11,1378.1609884670686,4135.26772320599
12,1291.3134942584297,4135.26772320599
13,1220.9919063763239,4154.177183742829
14,1142.6597930698156,4135.26772320599
15,1091.4120302901283,4135.26772320599
16,1020.4570224718364,4154.177183742829
17,981.4794385768369,4135.26772320599
18,923.8486346701259,4135.26772320599
19,878.8312950544066,4135.26772320599
20,831.6320054114228,3928.7763286395057
total_time_seconds,11173.532733678818,
