num_facilities,average_route_distance_m,max_route_distance_m
1,7583.621870341914,13592.697197747344
2,4924.268064730862,11381.799979400386
3,3628.9981278161194,8554.81244165967
4,3088.852795366498,7148.781783856544
5,2761.2010760654944,7151.220549461735
6,2449.8953472468834,6545.179543216959
7,2197.5953376696716,6460.877435817368
8,2037.2826106527561,6637.071910869743
9,1831.3148871730232,4338.234340325569
10,1699.4246030818329,4500.535264576637
11,1574.4080844414761,4036.738065618039
12,1447.2611464784518,4249.341615216
13,1425.4926885942486,4347.897912993318
14,1324.5489132399725,3997.772888587699
15,1292.4064181355945,4044.7143879036844
16,1203.0350230593665,4043.165215476745
17,1160.9992634762054,3658.428649594895
18,1101.7284010971557,4714.880851896126
19,1090.0416740047447,3849.800332594607
20,1054.6599689105738,3944.9365522672965
total_time_seconds,89.62050580978394,
