name,address,lat,lng
Circle UTC Taxi Station,"HQ9M+HJM, Accra, Ghana",5.5689723,-0.2159571
Brigade Taxi Rank,"HWV6+JC2, Accra, Ghana",5.594005999999999,-0.088985
Golden door Taxi Rank,"JPQR+98H Golden Door, Tantra St, Accra, Ghana",5.6384418,-0.2591356
"Dome Crossing, Taxi Rank","Dome Road, Accra, Ghana",5.6479849,-0.236365
Alajo - Kotobabi Taxi Rank,"HQQJ+6MQ, Nsawam Road, Nsawam Road, Accra, Ghana",5.5880889,-0.2182762
Abelenkpe Taxi Rank,"JQ4J+QV8, Manhean Loop Rd, Accra, Ghana",5.606903600000001,-0.2177904
18 junction taxi rank,"Accra, Ghana",5.6251206,-0.075705
Golden KanRich Enterprise,"JV69+VW8 Penny taxi station, Accra, Ghana",5.6083698,-0.130913
Tebibiano Taxi Station,"HVXF+46M, Accra, Ghana",5.5974527,-0.127015
Ako Adjei Taxi Rank,"HR5G+7VX, Accra, Ghana",5.55823,-0.1727748
Old Barrier Taxi Rank,"HM2C+57X, Mile 11, Ghana",5.550497699999999,-0.3292807
"Atomic Down, Roundabout","Taifa, Ghana",5.6676031,-0.2392165
Teshie Demo Taxi Station,"Accra, Ghana",5.585512899999999,-0.1249803
Bohye Taxi Rank,"MQMQ+RRQ Bohye Bohye taxi rank, Haatso, Ghana",5.684597,-0.2104062
Okpoi Gonno Taxi Rank speedaf,"About 1000 metres from the, Spintex Rd, Accra, Ghana",5.6260838,-0.1080394
Taxi Rank,"HQ9P+VQR, Kojo Thompson Rd, Accra, Ghana",5.569738999999999,-0.2130986
OSMOSES GRAPHIX,"THEMIS STREET, First Jct, Ghana",5.588122299999999,-0.09845849999999999
Zongo Junction Taxi Rank,"604 New Rd, Madina, Ghana",5.678249999999999,-0.1736086
Broadcasting Taxi Rank,"HJ2R+V6C, Mile 11, Ghana",5.5521829,-0.359475
Greda Taxi Rank,"JV9X+MG2, 10th Ave, Accra, Ghana",5.6191078,-0.1012493
37 Taxi rank,"HRR9+CGG, Liberation Road, Accra, Ghana",5.5910721,-0.1811751
Legon Taxi Station,"JRRC+9CM, Accra, Ghana",5.640959899999999,-0.178952
SCC Taxi Rank,"GMX6+3H6, Mile 11, Ghana",5.5476642,-0.3386212000000001
Demo Taxi Rank,"HVPC+XWV, Unnamed Road, Accra, Ghana",5.5874875,-0.1277128
Taxi rank,"JQ32+7VW, Accra, Ghana",5.6032253,-0.2478089
Kotobabi Taxi Rank.,"JWH5+MW3, Accra, Ghana",5.629148499999999,-0.0901879
Hong Kong police station taxi rank,"HPXP+6JW, Hong Kong Bus Stop, Nii Adaman St, Accra, Ghana",5.5981117,-0.2634117
Cambodia Taxi Rank,"JWX7+RM5, Accra, Ghana",5.6495147,-0.0857646
Stadium Road Taxi Rank,"PP42+RFV, Stadium Road Accra, Stadium Road, Amasaman, Ghana",5.7071223,-0.2988159
Taxi rank adenta,"PR5H+XH6, N 4, Adenta Municipality, Ghana",5.710037499999999,-0.1710116
Taxi Rank,"MR79+2CF, Unnamed Road, Accra, Ghana",5.6625652,-0.1814384
Taxi Rank,"GQWQ+VQ8, Kwame Nkrumah Ave, Accra, Ghana",5.5471748,-0.2105504
Tsui Bleoo Taxi Station,"JV3P+G2Q, Tsui Bleoo Rd, Accra, Ghana",5.6061686,-0.1159184
Gbawe Cp Taxi Station (Last Stop),"Gbawe, SDA Hospital Rd, Ghana",5.591940399999999,-0.3034881
Djaman taxi rank,"Pipeline Rd, Gbawe, Ghana",5.5738701,-0.320347
Black gate Taxi Rank,"MPFX+JQ7, DN Uber driver st, Taifa - Burkina Rd, Accra, Ghana",5.67403,-0.2505936
Coastal Estate Junction Taxi Rank,"JVMX+XPH, Coastal Main Rd, Accra, Ghana",5.634943499999999,-0.1006351
